town,age,job,married,education,arrears,housing,target
Newcastle upon Tyne,57,management,married,tertiary,no,yes,no
Portsmouth,28,admin.,married,secondary,no,yes,no
Bath,54,admin.,married,secondary,no,yes,no
Oldham,28,student,single,secondary,no,no,no
Bolton,32,technician,married,secondary,no,no,no
Swansea,51,services,married,secondary,no,yes,no
Chelmsford,42,services,single,secondary,no,yes,no
Basingstoke,25,blue-collar,single,secondary,no,no,yes
London,32,management,single,tertiary,no,no,no
Woking,57,technician,divorced,secondary,no,yes,no
Newcastle upon Tyne,29,admin.,single,secondary,no,yes,no
Edinburgh,60,management,married,tertiary,no,no,yes
Gillingham,53,services,married,secondary,no,no,no
Raleigh,34,entrepreneur,married,tertiary,no,yes,yes
Glasgow,50,housemaid,married,primary,no,no,no
Worcester,78,retired,married,primary,no,no,no
Chester,51,management,married,tertiary,no,no,no
Swindon,35,services,married,secondary,no,yes,no
Doncaster,29,services,married,secondary,no,yes,no
Nuneaton,26,management,single,tertiary,no,yes,no
Barnsley,42,housemaid,married,primary,no,no,no
Bradford,33,technician,married,secondary,no,yes,no
Belfast,30,management,married,tertiary,no,yes,no
Birkenhead,28,blue-collar,married,secondary,no,yes,no
Colchester,26,admin.,single,secondary,no,yes,no
Southend-on-Sea,37,technician,single,tertiary,no,yes,no
Leicester,28,blue-collar,married,secondary,no,yes,no
Bristol,34,management,married,tertiary,no,no,no
Birmingham,44,blue-collar,married,primary,no,yes,no
Liverpool,27,management,single,tertiary,no,no,no
Glasgow,66,retired,married,tertiary,no,no,no
Liverpool,40,blue-collar,married,primary,no,no,no
Grimsby,31,management,single,tertiary,no,no,no
Manchester,37,management,married,primary,no,yes,no
Cardiff,23,blue-collar,single,secondary,no,yes,no
Rochdale,53,blue-collar,married,primary,no,yes,no
Birmingham,52,housemaid,divorced,primary,no,no,no
Middlesbrough,59,retired,married,primary,no,no,no
Glasgow,40,student,single,secondary,no,yes,yes
Basingstoke,35,blue-collar,married,secondary,no,yes,no
Kingston upon Hull,53,retired,single,primary,no,no,no
Raleigh,35,unemployed,married,primary,no,no,yes
St Helens,32,technician,single,secondary,no,no,no
Dundee,28,student,single,secondary,no,yes,no
Manchester,36,housemaid,single,primary,no,no,no
Ipswich,48,admin.,married,secondary,no,yes,no
Ipswich,36,admin.,single,secondary,no,yes,no
Eastbourne,31,management,single,tertiary,no,yes,no
Solihull,46,blue-collar,single,secondary,no,no,no
Hastings,36,management,married,tertiary,no,yes,no
Oxford,33,technician,divorced,secondary,no,yes,no
Eastbourne,37,management,married,tertiary,no,yes,no
Bristol,41,admin.,single,secondary,no,yes,no
Hemel Hempstead,46,blue-collar,married,secondary,no,yes,no
Rotherham,24,blue-collar,single,unknown,no,yes,no
Leicester,54,management,married,tertiary,no,yes,no
Hartlepool,32,blue-collar,married,secondary,no,yes,no
Solihull,59,housemaid,married,primary,no,yes,no
Doncaster,52,management,married,tertiary,no,yes,no
Milton Keynes,47,blue-collar,married,secondary,no,no,no
Worcester,43,entrepreneur,married,unknown,no,yes,no
Worthing,31,entrepreneur,married,secondary,no,yes,no
Gillingham,44,blue-collar,married,primary,no,yes,no
Weston-super-Mare,31,student,single,tertiary,no,no,no
St Helens,41,admin.,divorced,tertiary,no,yes,no
Lincoln,45,admin.,married,secondary,no,yes,no
Hemel Hempstead,28,management,single,tertiary,no,no,no
Bolton,30,admin.,single,secondary,no,yes,yes
York,46,self-employed,married,primary,no,no,no
Milton Keynes,22,blue-collar,married,secondary,no,yes,no
Warrington,27,management,single,secondary,no,yes,no
High Wycombe,35,management,married,tertiary,no,yes,no
Gloucester,23,student,married,tertiary,yes,yes,no
Birmingham,59,management,married,tertiary,no,yes,no
Newport,42,management,divorced,tertiary,no,no,no
Birmingham,55,housemaid,divorced,unknown,no,no,no
Warrington,29,services,married,secondary,no,yes,no
Solihull,50,unknown,single,secondary,no,no,no
Barnsley,27,blue-collar,single,secondary,no,yes,no
Nuneaton,73,retired,married,unknown,no,no,no
Chester,35,technician,divorced,tertiary,no,yes,no
Halifax,55,retired,married,secondary,no,no,no
Plymouth,29,housemaid,single,tertiary,no,no,no
Worcester,52,technician,married,secondary,no,no,yes
Grimsby,33,management,single,tertiary,no,yes,no
County Down,36,entrepreneur,married,secondary,no,no,yes
Wigan,52,management,single,tertiary,no,no,yes
Wakefield,28,management,single,tertiary,no,no,yes
Brighton,45,blue-collar,single,secondary,no,no,yes
Hastings,32,management,single,tertiary,no,yes,yes
Sunderland,24,management,single,tertiary,no,no,no
Coventry,35,housemaid,single,unknown,no,no,no
County Down,37,management,single,tertiary,no,yes,no
Poole,37,management,married,tertiary,no,no,no
Swansea,46,blue-collar,married,primary,no,no,no
Nottingham,29,services,married,secondary,no,yes,no
Southampton,61,management,single,tertiary,no,no,yes
Coventry,32,technician,married,secondary,no,yes,yes
London,26,blue-collar,married,primary,yes,yes,no
Weston-super-Mare,39,technician,single,secondary,no,yes,no
London,59,blue-collar,married,secondary,no,yes,no
Birmingham,30,entrepreneur,single,tertiary,no,yes,no
Sale,59,retired,married,secondary,no,no,no
Basingstoke,42,admin.,single,secondary,no,yes,no
Birmingham,40,admin.,married,secondary,no,yes,no
Ipswich,36,blue-collar,married,secondary,no,yes,no
Wolverhampton,60,management,married,tertiary,no,no,no
London,50,services,single,secondary,no,no,no
Warrington,71,retired,married,tertiary,no,no,yes
Nuneaton,32,services,married,secondary,no,yes,no
St Albans,34,admin.,married,tertiary,no,no,no
Manchester,32,services,single,secondary,no,yes,no
Glasgow,37,technician,married,tertiary,no,no,no
Birmingham,42,management,married,tertiary,no,yes,no
Edinburgh,57,housemaid,married,primary,no,no,no
Chester,29,blue-collar,single,secondary,no,no,no
Nuneaton,32,blue-collar,married,secondary,no,yes,no
Birmingham,36,blue-collar,single,secondary,no,yes,no
Northampton,51,blue-collar,married,primary,no,no,no
Worcester,45,management,married,secondary,no,no,no
Newcastle upon Tyne,60,retired,single,primary,no,no,no
Nuneaton,39,services,married,secondary,no,yes,no
St Albans,48,unemployed,married,secondary,no,yes,no
Coventry,27,management,single,tertiary,no,yes,yes
Halifax,45,services,divorced,secondary,no,no,no
Watford,39,services,married,tertiary,no,no,no
Manchester,35,technician,single,tertiary,no,no,no
Ipswich,55,technician,married,secondary,no,yes,no
Sutton Coldfield,55,blue-collar,married,primary,no,yes,no
Rotherham,32,management,single,tertiary,no,no,yes
Hemel Hempstead,22,services,married,secondary,no,yes,no
County Down,37,technician,married,secondary,no,yes,no
Basingstoke,37,blue-collar,married,secondary,no,yes,no
Telford,39,technician,married,tertiary,no,yes,no
Birmingham,31,management,married,tertiary,no,no,no
Milton Keynes,55,unemployed,married,primary,no,no,no
Brighton,35,management,married,tertiary,no,yes,no
Oldham,59,retired,married,secondary,no,no,yes
Maidstone,33,blue-collar,married,secondary,no,yes,no
Hastings,52,blue-collar,married,primary,no,no,no
Sheffield,26,services,single,secondary,no,no,no
Wigan,40,technician,single,secondary,no,yes,no
Lincoln,31,unknown,married,tertiary,no,no,no
Huddersfield,48,management,married,tertiary,no,no,no
Wigan,60,technician,married,tertiary,no,yes,no
London,32,technician,single,tertiary,no,no,no
Glasgow,27,admin.,single,secondary,no,yes,no
Sunderland,37,blue-collar,married,primary,no,yes,no
Dundee,40,admin.,divorced,secondary,no,yes,no
Luton,46,self-employed,married,tertiary,no,yes,no
Worcester,37,management,single,tertiary,no,yes,no
Eastbourne,56,blue-collar,married,primary,no,no,no
Halifax,40,blue-collar,single,primary,no,yes,no
Southend-on-Sea,47,housemaid,married,tertiary,no,yes,no
Swansea,29,blue-collar,married,secondary,no,yes,no
Gillingham,52,management,married,tertiary,no,no,no
Newcastle upon Tyne,43,blue-collar,married,primary,no,yes,no
Peterborough,33,admin.,single,secondary,no,yes,no
Preston,30,blue-collar,married,secondary,no,no,no
Bath,32,student,married,secondary,no,no,yes
Leicester,51,admin.,single,secondary,no,no,no
Liverpool,44,technician,married,secondary,no,no,no
Darlington,41,admin.,married,secondary,no,yes,no
Stevenage,41,blue-collar,married,secondary,no,yes,yes
Milton Keynes,34,management,divorced,tertiary,no,yes,no
High Wycombe,57,entrepreneur,married,secondary,no,no,no
Glasgow,30,services,single,secondary,no,yes,yes
Stockport,56,services,divorced,secondary,no,no,no
Worcester,30,technician,single,secondary,no,yes,no
Basildon,44,technician,married,secondary,no,yes,no
Weston-super-Mare,37,blue-collar,married,secondary,no,no,no
Peterborough,39,management,married,tertiary,no,yes,no
Hemel Hempstead,43,services,divorced,unknown,no,yes,no
Worthing,66,housemaid,married,primary,no,no,yes
Birmingham,25,student,single,unknown,no,no,yes
Bristol,49,management,married,tertiary,no,no,no
Salford,42,blue-collar,married,secondary,no,yes,no
Eastbourne,51,management,married,tertiary,no,yes,no
Norwich,32,technician,single,tertiary,no,no,no
Luton,50,services,married,primary,no,no,no
Newport,33,services,married,secondary,no,yes,no
Oxford,42,management,married,tertiary,no,yes,no
Poole,25,admin.,married,unknown,no,yes,yes
Liverpool,32,admin.,married,secondary,no,yes,no
Stockport,27,admin.,married,secondary,no,yes,yes
Bristol,26,blue-collar,single,secondary,no,no,no
Bournemouth,36,entrepreneur,married,secondary,no,yes,no
Sale,36,technician,single,secondary,no,yes,no
Liverpool,58,management,married,tertiary,no,no,no
London,43,management,married,tertiary,no,no,no
Norwich,36,admin.,married,secondary,no,yes,no
Liverpool,43,blue-collar,married,secondary,no,yes,no
Liverpool,47,management,divorced,tertiary,no,yes,no
Birkenhead,59,blue-collar,divorced,primary,no,no,yes
Raleigh,38,blue-collar,married,secondary,no,yes,no
Chester,39,management,married,tertiary,no,no,no
Bournemouth,55,housemaid,married,primary,no,yes,no
Bath,53,management,single,tertiary,no,yes,no
Maidstone,38,blue-collar,single,secondary,no,no,no
Glasgow,39,blue-collar,married,secondary,no,no,yes
Swindon,36,blue-collar,married,secondary,no,yes,yes
Cardiff,48,blue-collar,married,secondary,no,yes,no
Oxford,40,retired,married,primary,no,yes,no
Basingstoke,24,student,single,primary,no,no,yes
Solihull,41,management,married,tertiary,no,yes,no
Weston-super-Mare,49,management,married,tertiary,no,no,no
Maidstone,33,management,single,tertiary,no,no,no
Gateshead,33,admin.,single,secondary,no,no,no
Wigan,58,blue-collar,married,primary,no,no,no
Crawley,49,blue-collar,married,primary,no,yes,no
Blackburn,37,services,married,secondary,no,yes,no
Basingstoke,49,housemaid,married,primary,no,no,yes
St Albans,39,technician,single,secondary,no,yes,no
Glasgow,34,management,married,tertiary,no,yes,no
Basingstoke,51,management,married,primary,no,no,no
Oldham,37,admin.,divorced,secondary,no,yes,no
Manchester,21,student,single,secondary,no,no,no
Blackburn,44,services,divorced,secondary,no,yes,no
Coventry,55,admin.,married,secondary,no,yes,no
Manchester,29,admin.,single,secondary,no,yes,no
Hastings,53,management,divorced,secondary,no,yes,no
Colchester,32,blue-collar,married,secondary,no,yes,no
Chester,56,retired,married,secondary,no,no,no
Sutton Coldfield,50,blue-collar,married,primary,no,yes,no
Brighton,34,management,single,tertiary,no,yes,no
Cheltenham,32,services,married,secondary,no,yes,yes
Hemel Hempstead,30,entrepreneur,married,secondary,no,yes,no
Birmingham,44,admin.,married,secondary,no,yes,no
Norwich,44,management,married,secondary,no,no,no
Milton Keynes,31,management,single,tertiary,no,no,no
Southampton,30,management,single,tertiary,no,no,no
Swansea,30,unemployed,married,secondary,no,yes,no
Bournemouth,33,admin.,single,secondary,no,no,no
Birmingham,27,admin.,single,secondary,no,yes,no
Cardiff,45,blue-collar,married,secondary,no,yes,no
Norwich,36,blue-collar,married,primary,no,yes,no
Gateshead,80,management,married,primary,no,no,no
Brighton,42,blue-collar,married,secondary,no,yes,no
St Helens,35,management,married,tertiary,no,yes,no
Worcester,55,management,married,tertiary,no,no,no
Huddersfield,56,services,married,secondary,no,yes,no
Portsmouth,35,unemployed,single,tertiary,no,no,no
Oldham,48,technician,married,secondary,no,yes,no
Sutton Coldfield,51,technician,married,secondary,no,yes,no
Coventry,46,unknown,married,unknown,no,no,no
Luton,60,management,married,tertiary,no,no,no
Edinburgh,30,unemployed,married,tertiary,no,yes,no
Cheltenham,31,management,single,tertiary,no,yes,no
County Down,42,technician,married,secondary,no,yes,no
Luton,45,services,married,secondary,yes,no,no
Liverpool,43,technician,divorced,secondary,no,yes,no
Ipswich,26,blue-collar,single,primary,no,yes,no
Cambridge,54,blue-collar,married,primary,no,yes,no
Derby,29,blue-collar,married,secondary,no,yes,no
Poole,29,blue-collar,married,secondary,no,yes,no
Liverpool,70,retired,married,tertiary,no,no,no
Southend-on-Sea,35,technician,divorced,secondary,yes,yes,no
Bolton,35,management,single,tertiary,no,no,no
Huddersfield,40,blue-collar,divorced,primary,no,yes,no
London,38,technician,divorced,secondary,no,yes,no
Luton,25,student,single,secondary,no,no,yes
Birkenhead,28,blue-collar,married,secondary,no,yes,no
Darlington,52,blue-collar,married,primary,no,no,no
Basildon,36,technician,married,tertiary,no,no,no
Leeds,57,blue-collar,married,primary,no,no,no
Bristol,35,admin.,married,secondary,no,no,no
Cambridge,29,management,married,tertiary,no,yes,no
Worthing,55,management,divorced,tertiary,no,yes,no
Southport,50,admin.,married,secondary,no,no,no
Maidstone,32,management,single,tertiary,no,no,no
Bath,41,housemaid,divorced,secondary,no,yes,no
Eastbourne,50,management,married,tertiary,no,no,no
Worthing,42,services,married,primary,no,yes,no
Wigan,34,services,married,secondary,no,yes,no
London,55,management,married,tertiary,no,yes,no
Middlesbrough,35,services,single,secondary,no,yes,no
Poole,59,retired,divorced,primary,no,no,no
Manchester,45,admin.,married,unknown,no,no,no
St Helens,44,blue-collar,married,primary,no,yes,no
Portsmouth,51,housemaid,married,primary,no,yes,no
Glasgow,36,blue-collar,divorced,primary,no,no,no
Stevenage,39,services,single,secondary,no,yes,no
Bolton,58,retired,married,primary,no,no,no
Gillingham,37,unemployed,married,secondary,no,no,no
Glasgow,54,retired,married,secondary,no,no,no
Birmingham,30,management,single,tertiary,no,no,no
Liverpool,39,blue-collar,married,secondary,no,yes,no
Preston,45,admin.,divorced,secondary,no,no,yes
Wigan,38,entrepreneur,married,tertiary,no,yes,yes
Birmingham,38,management,married,unknown,no,yes,no
Gloucester,50,housemaid,single,primary,no,yes,no
Chesterfield,58,retired,married,primary,no,no,yes
Middlesbrough,33,blue-collar,single,unknown,no,yes,no
Northampton,35,technician,divorced,unknown,no,yes,no
Grimsby,30,technician,single,secondary,no,no,yes
Gateshead,35,technician,single,secondary,no,yes,no
Middlesbrough,53,housemaid,married,secondary,no,no,no
Preston,27,blue-collar,married,secondary,no,yes,no
Stockport,35,management,married,secondary,no,yes,no
Bristol,44,technician,married,secondary,no,yes,no
Glasgow,32,blue-collar,married,secondary,no,yes,yes
Kingston upon Hull,58,retired,divorced,secondary,no,no,no
Sutton Coldfield,37,blue-collar,married,secondary,no,yes,no
Huddersfield,37,unemployed,single,secondary,no,no,yes
Chelmsford,49,management,married,secondary,no,no,no
Bristol,31,technician,single,secondary,no,no,no
Chester,31,admin.,divorced,secondary,no,yes,no
Middlesbrough,49,blue-collar,divorced,secondary,no,yes,no
Kingston upon Hull,44,technician,married,secondary,no,yes,no
Bedford,34,technician,single,tertiary,no,no,no
Newport,42,unemployed,married,tertiary,no,yes,no
Wigan,50,management,married,tertiary,no,yes,no
Darlington,45,management,married,tertiary,no,yes,no
Blackburn,47,services,married,primary,no,yes,no
Maidstone,32,blue-collar,married,primary,no,yes,no
Belfast,36,admin.,married,secondary,no,yes,no
Liverpool,21,student,single,secondary,no,no,no
Sale,70,retired,married,tertiary,no,no,no
Warrington,52,services,married,secondary,no,yes,no
Bristol,31,blue-collar,married,secondary,no,yes,no
Worthing,40,blue-collar,single,unknown,no,yes,no
Sunderland,48,management,married,tertiary,no,no,no
Gloucester,41,management,single,tertiary,no,yes,no
Bradford,49,services,single,secondary,no,yes,no
Watford,44,management,married,tertiary,no,yes,no
Blackburn,52,blue-collar,married,unknown,no,no,no
Bristol,52,blue-collar,married,secondary,no,yes,no
Reading,40,blue-collar,single,secondary,no,yes,no
St Albans,35,management,married,tertiary,no,yes,no
Southend-on-Sea,38,services,married,secondary,no,yes,no
Cheltenham,44,management,married,tertiary,no,no,no
Kingston upon Hull,57,services,divorced,primary,no,yes,no
Warrington,42,technician,single,secondary,no,yes,no
Swindon,36,blue-collar,married,primary,no,yes,no
Solihull,50,blue-collar,married,primary,no,yes,no
Northampton,29,technician,married,secondary,no,no,no
Maidstone,36,blue-collar,single,secondary,no,yes,no
Birmingham,57,blue-collar,married,primary,no,yes,no
Glasgow,32,blue-collar,single,secondary,no,yes,no
Southend-on-Sea,33,housemaid,married,tertiary,no,no,no
Gateshead,67,retired,married,primary,no,no,no
Blackpool,56,entrepreneur,divorced,tertiary,no,no,no
Birkenhead,30,services,married,secondary,no,yes,no
Bradford,36,technician,married,secondary,no,yes,no
Edinburgh,32,blue-collar,single,secondary,no,yes,no
Doncaster,35,services,married,secondary,no,yes,no
Oldham,31,technician,married,tertiary,no,yes,no
St Albans,34,technician,married,secondary,no,yes,no
Liverpool,34,management,married,tertiary,no,yes,no
Newport,38,management,single,tertiary,no,yes,no
Liverpool,46,entrepreneur,married,secondary,no,yes,no
Milton Keynes,27,housemaid,married,secondary,no,no,no
London,53,admin.,divorced,secondary,no,yes,no
Weston-super-Mare,22,student,single,primary,no,yes,no
Glasgow,42,blue-collar,married,secondary,no,yes,no
Plymouth,53,entrepreneur,married,unknown,no,no,no
Halifax,36,services,divorced,secondary,no,no,no
Oxford,38,blue-collar,single,tertiary,no,no,no
Bristol,40,management,married,tertiary,no,yes,yes
Liverpool,34,blue-collar,married,secondary,no,yes,no
Bournemouth,30,management,single,tertiary,no,yes,no
Gillingham,20,student,single,secondary,no,no,no
Luton,31,management,single,tertiary,no,yes,no
Bristol,27,services,single,tertiary,no,yes,no
Warrington,30,unemployed,single,tertiary,no,no,no
County Down,50,technician,divorced,secondary,no,no,no
Hastings,30,management,single,tertiary,no,no,no
Glasgow,31,blue-collar,married,tertiary,no,no,yes
Worcester,50,management,married,tertiary,no,no,no
Swindon,39,housemaid,married,tertiary,no,no,no
Blackburn,53,blue-collar,single,primary,no,no,no
Hartlepool,33,blue-collar,married,secondary,no,no,no
Luton,43,entrepreneur,married,secondary,no,yes,no
Glasgow,26,technician,single,tertiary,no,yes,no
Reading,54,technician,divorced,secondary,no,yes,no
Southport,33,services,married,secondary,no,yes,no
Birkenhead,35,technician,divorced,secondary,no,no,no
Nuneaton,31,entrepreneur,single,tertiary,no,no,no
Gateshead,47,unemployed,married,primary,no,no,no
Chelmsford,28,blue-collar,single,secondary,yes,no,no
Telford,28,admin.,single,secondary,no,yes,no
St Helens,45,services,single,secondary,no,yes,no
Middlesbrough,36,entrepreneur,married,tertiary,no,yes,no
Cardiff,32,self-employed,married,tertiary,no,no,no
Colchester,31,blue-collar,single,secondary,no,yes,no
Blackpool,72,retired,married,primary,no,no,yes
Middlesbrough,46,blue-collar,married,primary,no,no,no
Newcastle upon Tyne,53,management,married,tertiary,no,yes,no
Bath,63,technician,married,secondary,no,yes,no
Oldham,45,admin.,single,secondary,no,yes,no
Kingston upon Hull,58,retired,married,tertiary,no,no,no
Oxford,70,housemaid,divorced,primary,no,no,yes
Edinburgh,28,services,single,secondary,no,no,no
Gloucester,32,management,single,tertiary,no,no,no
Birmingham,44,technician,married,secondary,no,no,no
Birmingham,49,management,married,tertiary,no,no,yes
London,40,blue-collar,married,primary,no,yes,no
Warrington,32,technician,single,tertiary,no,yes,no
Wigan,32,technician,single,secondary,no,yes,no
Kingston upon Hull,50,management,married,tertiary,no,no,no
Bath,37,management,divorced,tertiary,no,yes,no
Bournemouth,27,admin.,single,tertiary,no,no,no
Hartlepool,29,admin.,single,secondary,no,yes,no
Reading,38,entrepreneur,married,secondary,no,yes,no
London,41,unknown,single,primary,no,yes,no
Milton Keynes,52,technician,married,secondary,no,no,no
Grimsby,33,technician,single,secondary,no,yes,no
Chelmsford,34,blue-collar,single,secondary,no,no,no
Solihull,51,retired,divorced,primary,no,yes,no
Ipswich,32,blue-collar,divorced,secondary,no,no,no
Halifax,38,admin.,married,secondary,no,no,no
Manchester,28,blue-collar,married,primary,no,yes,no
Bradford,37,technician,married,unknown,no,no,no
County Down,31,management,single,tertiary,no,no,no
Bristol,59,retired,married,secondary,no,no,no
Birmingham,43,self-employed,married,primary,yes,no,no
Worcester,42,management,divorced,tertiary,no,no,no
Brighton,29,technician,single,secondary,no,no,no
Glasgow,39,services,married,secondary,no,yes,no
Preston,55,management,married,secondary,no,no,no
Plymouth,53,technician,married,unknown,no,yes,no
Glasgow,19,student,single,primary,no,no,yes
Exeter,53,technician,married,secondary,no,no,no
Worcester,26,services,single,primary,no,yes,no
Basildon,36,unemployed,married,secondary,no,no,yes
Wakefield,31,management,single,tertiary,no,no,yes
Bolton,34,management,married,tertiary,no,yes,no
Telford,32,services,single,tertiary,no,yes,no
Portsmouth,54,technician,divorced,secondary,no,yes,no
Swindon,42,entrepreneur,married,tertiary,no,yes,no
St Albans,58,blue-collar,married,secondary,no,no,no
London,40,services,divorced,secondary,no,no,no
Basingstoke,46,management,divorced,tertiary,no,yes,no
Middlesbrough,41,admin.,single,secondary,no,yes,no
Liverpool,33,services,married,secondary,no,yes,no
Glasgow,35,blue-collar,married,secondary,no,yes,no
Gateshead,25,blue-collar,married,secondary,no,yes,no
Darlington,29,technician,married,tertiary,no,yes,no
Derby,58,services,married,primary,no,no,no
Nuneaton,32,admin.,divorced,secondary,no,yes,no
Chelmsford,42,blue-collar,married,secondary,no,yes,no
Ipswich,41,management,married,tertiary,no,no,no
Sunderland,30,management,single,tertiary,no,yes,no
Barnsley,31,management,single,tertiary,no,yes,no
London,33,technician,divorced,secondary,no,yes,no
Liverpool,70,retired,married,secondary,no,no,no
High Wycombe,31,blue-collar,married,secondary,no,yes,no
Salford,42,self-employed,married,primary,no,yes,no
Leeds,30,management,single,tertiary,no,no,no
Peterborough,40,blue-collar,married,primary,no,yes,no
Watford,48,admin.,married,primary,no,yes,no
London,23,admin.,single,secondary,no,no,no
Basildon,59,retired,married,tertiary,no,no,no
Lincoln,33,blue-collar,married,secondary,no,yes,no
Poole,34,technician,married,secondary,no,yes,no
Dundee,38,blue-collar,married,primary,no,yes,no
Crawley,48,entrepreneur,married,tertiary,no,yes,no
Southampton,30,technician,married,secondary,no,yes,no
Cheltenham,33,services,single,secondary,no,yes,no
London,28,admin.,married,secondary,no,yes,no
Chesterfield,32,management,married,tertiary,no,no,no
Manchester,41,management,married,tertiary,no,no,no
Peterborough,27,unemployed,single,tertiary,no,no,no
Eastbourne,37,blue-collar,married,secondary,no,no,no
Belfast,35,housemaid,married,tertiary,no,no,no
Bristol,31,management,single,tertiary,no,no,no
Liverpool,42,technician,married,secondary,no,no,no
Gateshead,45,technician,single,secondary,no,no,no
Norwich,35,technician,married,secondary,no,yes,no
Birmingham,54,technician,divorced,secondary,no,no,yes
Huddersfield,41,technician,divorced,secondary,no,yes,no
Telford,84,retired,married,primary,no,no,no
Gloucester,28,admin.,single,secondary,no,yes,no
Maidstone,48,management,married,tertiary,no,yes,no
Birmingham,56,management,divorced,tertiary,no,yes,no
Bristol,54,retired,married,secondary,no,yes,no
Telford,38,unemployed,married,tertiary,no,no,no
County Down,41,management,single,tertiary,no,no,no
London,27,technician,single,secondary,no,no,no
Darlington,55,blue-collar,married,secondary,no,no,yes
Worthing,32,admin.,married,secondary,no,yes,no
Glasgow,39,admin.,single,secondary,no,yes,yes
Watford,39,technician,married,secondary,no,yes,no
Slough,34,technician,married,tertiary,no,yes,yes
Gateshead,51,technician,married,unknown,no,yes,no
Hemel Hempstead,51,entrepreneur,married,primary,no,no,no
Barnsley,26,management,single,secondary,no,yes,no
Exeter,48,technician,divorced,secondary,no,yes,no
High Wycombe,50,admin.,married,primary,no,yes,no
London,39,technician,divorced,secondary,no,no,no
Reading,42,blue-collar,married,unknown,no,no,no
Nottingham,40,blue-collar,divorced,secondary,no,yes,no
Peterborough,39,management,married,tertiary,no,yes,no
Salford,40,technician,single,secondary,no,no,no
Eastbourne,54,management,married,primary,no,no,no
Darlington,29,technician,single,tertiary,no,no,no
Lincoln,46,entrepreneur,married,secondary,no,yes,no
Chelmsford,30,blue-collar,single,secondary,no,yes,no
Chester,40,unemployed,single,tertiary,no,no,yes
Manchester,49,blue-collar,single,primary,no,yes,yes
Warrington,74,retired,married,primary,no,no,yes
Bath,56,retired,married,secondary,no,no,no
Cambridge,33,technician,married,secondary,no,no,yes
St Helens,36,technician,married,secondary,no,yes,no
Milton Keynes,47,technician,divorced,secondary,no,no,no
Kingston upon Hull,34,technician,married,tertiary,no,no,no
Birmingham,60,management,married,secondary,no,no,no
Hartlepool,46,admin.,married,primary,no,yes,no
London,58,management,married,tertiary,no,yes,no
Basingstoke,54,self-employed,married,secondary,no,yes,no
London,23,housemaid,married,tertiary,no,yes,yes
Oldham,42,entrepreneur,married,primary,no,yes,no
Belfast,36,entrepreneur,married,tertiary,no,no,no
Rochdale,38,blue-collar,married,secondary,no,no,no
Plymouth,77,retired,married,secondary,no,no,yes
London,27,technician,married,tertiary,no,yes,no
Sunderland,58,housemaid,married,secondary,no,no,no
Chester,25,admin.,single,secondary,no,yes,no
Basingstoke,42,admin.,married,tertiary,no,no,no
Manchester,59,technician,divorced,secondary,no,no,no
Crawley,58,management,married,tertiary,no,no,no
Basildon,32,blue-collar,single,secondary,no,no,no
Sutton Coldfield,34,technician,married,secondary,no,yes,no
Rochdale,51,entrepreneur,married,tertiary,no,yes,no
Gloucester,34,services,married,secondary,no,no,yes
Preston,46,services,divorced,unknown,no,no,no
Birmingham,30,services,single,tertiary,no,no,yes
Crawley,60,housemaid,divorced,primary,no,no,no
Southend-on-Sea,40,self-employed,married,tertiary,no,yes,no
Woking,33,admin.,married,tertiary,no,yes,yes
Cardiff,42,management,divorced,tertiary,no,yes,no
Cambridge,46,management,married,tertiary,no,yes,no
Glasgow,39,blue-collar,married,primary,no,yes,no
Solihull,54,unknown,married,secondary,no,no,yes
Doncaster,43,technician,married,tertiary,no,no,no
Leicester,44,services,single,secondary,no,yes,no
Southport,44,blue-collar,single,primary,no,yes,no
Birkenhead,41,unemployed,married,primary,no,yes,no
Hartlepool,33,blue-collar,married,tertiary,no,yes,no
Manchester,42,blue-collar,married,secondary,no,yes,no
London,36,blue-collar,married,secondary,no,yes,no
Telford,52,management,married,tertiary,no,yes,no
Southampton,53,technician,married,secondary,no,yes,yes
Oxford,36,admin.,divorced,tertiary,no,no,no
Liverpool,56,management,married,secondary,no,no,no
Slough,34,management,single,tertiary,no,yes,no
Manchester,36,blue-collar,married,unknown,no,yes,no
Ipswich,27,technician,married,secondary,no,yes,no
Glasgow,40,unemployed,divorced,secondary,no,no,no
Hartlepool,53,blue-collar,married,secondary,no,yes,no
Exeter,25,services,married,secondary,no,yes,no
Hemel Hempstead,30,management,single,tertiary,no,yes,no
London,34,blue-collar,married,primary,no,yes,no
London,34,blue-collar,married,secondary,no,no,no
Oxford,35,unemployed,single,secondary,no,no,no
Bristol,55,services,married,secondary,no,yes,no
Birmingham,55,management,married,tertiary,no,yes,no
Cheltenham,35,blue-collar,divorced,secondary,no,yes,yes
Newcastle upon Tyne,58,blue-collar,married,secondary,no,no,no
Wolverhampton,41,management,married,tertiary,no,yes,no
Chester,50,management,divorced,tertiary,no,yes,no
Chester,30,self-employed,single,tertiary,no,no,no
Bedford,47,technician,married,secondary,no,no,no
Bristol,28,blue-collar,married,secondary,no,yes,no
Sheffield,58,management,divorced,tertiary,no,no,yes
Sheffield,35,self-employed,married,tertiary,no,yes,no
Chester,43,services,married,unknown,no,no,no
Darlington,47,technician,married,primary,no,yes,no
Wolverhampton,40,blue-collar,single,secondary,yes,no,no
